NEWID,UCC,AMOUNT,IMPNUM,PUB_FLAG,AMOUNT_
05689471,980000,79828,4,1,NA
05689471,980000,79803,5,1,NA
05689472,900030,52192,1,1,NA
05689472,900030,52192,2,1,NA
05689472,900030,52192,3,1,NA
05689472,900030,52192,4,1,NA
05689472,900030,52192,5,1,NA
05689472,900170,26400,1,1,NA
05689472,900170,26400,2,1,NA
05689472,900170,26400,3,1,NA
05689472,900170,26400,4,1,NA
05689472,900170,26400,5,1,NA
05689472,900180,1163,1,1,NA
05689472,900180,1021,2,1,NA
05689472,900180,1607,3,1,NA
05689472,900180,1133,4,1,NA
05689472,900180,1397,5,1,NA
05689472,980000,79755,1,1,NA
05689472,980000,79613,2,1,NA
05689472,980000,80199,3,1,NA
05689472,980000,79725,4,1,NA
05689472,980000,79989,5,1,NA
05689481,900000,100000,1,1,NA
05689481,900000,100000,2,1,NA
05689481,900000,100000,3,1,NA
05689481,900000,100000,4,1,NA
05689481,900000,100000,5,1,NA
05689481,900030,18896,1,1,NA
05689481,900030,18896,2,1,NA
05689481,900030,18896,3,1,NA
05689481,900030,18896,4,1,NA
05689481,900030,18896,5,1,NA
05689481,900090,845,1,1,NA
05689481,900090,845,2,1,NA
05689481,900090,845,3,1,NA
05689481,900090,845,4,1,NA
05689481,900090,845,5,1,NA
05689481,980000,119741,1,1,NA
05689481,980000,119741,2,1,NA
05689481,980000,119741,3,1,NA
05689481,980000,119741,4,1,NA
05689481,980000,119741,5,1,NA
05689482,900000,100000,1,1,NA
05689482,900000,100000,2,1,NA
05689482,900000,100000,3,1,NA
05689482,900000,100000,4,1,NA
05689482,900000,100000,5,1,NA
05689482,900030,18896,1,1,NA
05689482,900030,18896,2,1,NA
05689482,900030,18896,3,1,NA
05689482,900030,18896,4,1,NA
05689482,900030,18896,5,1,NA
05689482,900090,845,1,1,NA
05689482,900090,845,2,1,NA
05689482,900090,845,3,1,NA
05689482,900090,845,4,1,NA
05689482,900090,845,5,1,NA
05689482,980000,119741,1,1,NA
05689482,980000,119741,2,1,NA
05689482,980000,119741,3,1,NA
05689482,980000,119741,4,1,NA
05689482,980000,119741,5,1,NA
05689561,900000,265000,1,1,NA
05689561,900000,265000,2,1,NA
05689561,900000,265000,3,1,NA
05689561,900000,265000,4,1,NA
05689561,900000,265000,5,1,NA
05689561,900170,12000,1,1,NA
05689561,900170,12000,2,1,NA
05689561,900170,12000,3,1,NA
05689561,900170,12000,4,1,NA
05689561,900170,12000,5,1,NA
05689561,900180,7120,1,1,NA
05689561,900180,6700,2,1,NA
05689561,900180,6047,3,1,NA
05689561,900180,6624,4,1,NA
05689561,900180,5951,5,1,NA
05689561,980000,284120,1,1,NA
05689561,980000,283700,2,1,NA
05689561,980000,283047,3,1,NA
05689561,980000,283624,4,1,NA
05689561,980000,282951,5,1,NA
05689562,900000,265000,1,1,NA
05689562,900000,265000,2,1,NA
05689562,900000,265000,3,1,NA
05689562,900000,265000,4,1,NA
05689562,900000,265000,5,1,NA
05689562,900170,12000,1,1,NA
05689562,900170,12000,2,1,NA
05689562,900170,12000,3,1,NA
05689562,900170,12000,4,1,NA
05689562,900170,12000,5,1,NA
05689562,900180,5562,1,1,NA
05689562,900180,8152,2,1,NA
05689562,900180,6221,3,1,NA
05689562,900180,8282,4,1,NA
05689562,900180,8546,5,1,NA
05689562,980000,282562,1,1,NA
05689562,980000,285152,2,1,NA
05689562,980000,283221,3,1,NA
05689562,980000,285282,4,1,NA
05689562,980000,285546,5,1,NA
05689591,900030,42592,1,1,NA
05689591,900030,42592,2,1,NA
05689591,900030,42592,3,1,NA
05689591,900030,42592,4,1,NA
05689591,900030,42592,5,1,NA
05689591,900170,900,1,1,NA
05689591,900170,900,2,1,NA
05689591,900170,900,3,1,NA
05689591,900170,900,4,1,NA
05689591,900170,900,5,1,NA
05689591,980000,43492,1,1,NA
05689591,980000,43492,2,1,NA
05689591,980000,43492,3,1,NA
05689591,980000,43492,4,1,NA
05689591,980000,43492,5,1,NA
05689592,900030,42592,1,1,NA
05689592,900030,42592,2,1,NA
05689592,900030,42592,3,1,NA
05689592,900030,42592,4,1,NA
05689592,900030,42592,5,1,NA
05689592,900170,900,1,1,NA
05689592,900170,900,2,1,NA
05689592,900170,900,3,1,NA
05689592,900170,900,4,1,NA
05689592,900170,900,5,1,NA
05689592,980000,43492,1,1,NA
05689592,980000,43492,2,1,NA
05689592,980000,43492,3,1,NA
05689592,980000,43492,4,1,NA
05689592,980000,43492,5,1,NA
05689601,900030,14096,1,1,NA
05689601,900030,14096,2,1,NA
05689601,900030,14096,3,1,NA
05689601,900030,14096,4,1,NA
05689601,900030,14096,5,1,NA
05689601,980000,14096,1,1,NA
05689601,980000,14096,2,1,NA
05689601,980000,14096,3,1,NA
05689601,980000,14096,4,1,NA
05689601,980000,14096,5,1,NA
05689602,900030,14096,1,1,NA
05689602,900030,14096,2,1,NA
05689602,900030,14096,3,1,NA
05689602,900030,14096,4,1,NA
05689602,900030,14096,5,1,NA
05689602,980000,14096,1,1,NA
05689602,980000,14096,2,1,NA
05689602,980000,14096,3,1,NA
05689602,980000,14096,4,1,NA
05689602,980000,14096,5,1,NA
05689621,800940,4787,1,1,NA
05689621,800940,153,2,1,NA
05689621,800940,1724,3,1,NA
05689621,800940,1810,4,1,NA
05689621,800940,497,5,1,NA
05689621,900000,140942,1,1,NA
05689621,900000,132717,2,1,NA
05689621,900000,137175,3,1,NA
05689621,900000,138040,4,1,NA
05689621,900000,136448,5,1,NA
05689621,900160,30287,1,1,NA
05689621,900160,1,2,1,NA
05689621,900160,10265,3,1,NA
05689621,900160,10827,4,1,NA
05689621,900160,2249,5,1,NA
05689621,980000,171229,1,1,NA
05689621,980000,132718,2,1,NA
05689621,980000,147440,3,1,NA
05689621,980000,148867,4,1,NA
05689621,980000,138697,5,1,NA
05689622,800940,237,1,1,NA
05689622,800940,2376,2,1,NA
05689622,800940,236,3,1,NA
05689622,800940,345,4,1,NA
05689622,800940,132,5,1,NA
05689622,900000,140892,1,1,NA
05689622,900000,142423,2,1,NA
05689622,900000,142026,3,1,NA
05689622,900000,143443,4,1,NA
05689622,900000,141745,5,1,NA
05689622,900160,546,1,1,NA
05689622,900160,14528,2,1,NA
05689622,900160,543,3,1,NA
05689622,900160,1254,4,1,NA
05689622,900160,-134,5,1,NA
05689622,980000,141438,1,1,NA
05689622,980000,156951,2,1,NA
05689622,980000,142569,3,1,NA
05689622,980000,144697,4,1,NA
05689622,980000,141611,5,1,NA
05689681,900030,20888,1,1,NA
05689681,900030,19640,2,1,NA
05689681,900030,18224,3,1,NA
05689681,900030,18716,4,1,NA
05689681,900030,20036,5,1,NA
05689681,980000,20888,1,1,NA
05689681,980000,19640,2,1,NA
05689681,980000,18224,3,1,NA
05689681,980000,18716,4,1,NA
05689681,980000,20036,5,1,NA
05689682,900030,20384,1,1,NA
05689682,900030,21776,2,1,NA
05689682,900030,18740,3,1,NA
05689682,900030,19412,4,1,NA
05689682,900030,21440,5,1,NA
05689682,980000,20384,1,1,NA
05689682,980000,21776,2,1,NA
05689682,980000,18740,3,1,NA
05689682,980000,19412,4,1,NA
05689682,980000,21440,5,1,NA
05689711,900000,28800,1,1,NA
05689711,900000,28800,2,1,NA
05689711,900000,28800,3,1,NA
05689711,900000,28800,4,1,NA
05689711,900000,28800,5,1,NA
05689711,980000,28800,1,1,NA
05689711,980000,28800,2,1,NA
05689711,980000,28800,3,1,NA
05689711,980000,28800,4,1,NA
05689711,980000,28800,5,1,NA
05689712,900000,28800,1,1,NA
05689712,900000,28800,2,1,NA
05689712,900000,28800,3,1,NA
05689712,900000,28800,4,1,NA
05689712,900000,28800,5,1,NA
05689712,980000,28800,1,1,NA
05689712,980000,28800,2,1,NA
05689712,980000,28800,3,1,NA
05689712,980000,28800,4,1,NA
05689712,980000,28800,5,1,NA
05689751,900000,160000,1,1,NA
05689751,900000,160000,2,1,NA
05689751,900000,160000,3,1,NA
05689751,900000,160000,4,1,NA
05689751,900000,160000,5,1,NA
05689751,900180,9,1,1,NA
05689751,900180,620,2,1,NA
05689751,900180,25,3,1,NA
05689751,900180,30,4,1,NA
05689751,900180,13,5,1,NA
05689751,980000,160009,1,1,NA
05689751,980000,160620,2,1,NA
05689751,980000,160025,3,1,NA
05689751,980000,160030,4,1,NA
05689751,980000,160013,5,1,NA
05689752,900000,160000,1,1,NA
05689752,900000,160000,2,1,NA
05689752,900000,160000,3,1,NA
05689752,900000,160000,4,1,NA
05689752,900000,160000,5,1,NA
05689752,900180,54,1,1,NA
05689752,900180,11,2,1,NA
05689752,900180,126,3,1,NA
05689752,900180,96,4,1,NA
05689752,900180,74,5,1,NA
05689752,980000,160054,1,1,NA
05689752,980000,160011,2,1,NA
05689752,980000,160126,3,1,NA
05689752,980000,160096,4,1,NA
05689752,980000,160074,5,1,NA
05689761,900000,55000,1,1,NA
05689761,900000,55000,2,1,NA
05689761,900000,55000,3,1,NA
05689761,900000,55000,4,1,NA
05689761,900000,55000,5,1,NA
05689761,980000,55000,1,1,NA
05689761,980000,55000,2,1,NA
05689761,980000,55000,3,1,NA
05689761,980000,55000,4,1,NA
05689761,980000,55000,5,1,NA
05689762,900000,55000,1,1,NA
05689762,900000,55000,2,1,NA
05689762,900000,55000,3,1,NA
05689762,900000,55000,4,1,NA
05689762,900000,55000,5,1,NA
05689762,980000,55000,1,1,NA
05689762,980000,55000,2,1,NA
05689762,980000,55000,3,1,NA
05689762,980000,55000,4,1,NA
05689762,980000,55000,5,1,NA
05689771,900000,108226,1,1,NA
05689771,900000,105541,2,1,NA
05689771,900000,131717,3,1,NA
05689771,900000,133868,4,1,NA
05689771,900000,109943,5,1,NA
05689771,900030,15800,1,1,NA
05689771,900030,15800,2,1,NA
05689771,900030,15800,3,1,NA
05689771,900030,15800,4,1,NA
05689771,900030,15800,5,1,NA
05689771,980000,124026,1,1,NA
05689771,980000,121341,2,1,NA
05689771,980000,147517,3,1,NA
05689771,980000,149668,4,1,NA
05689771,980000,125743,5,1,NA
05689772,900000,144040,1,1,NA
05689772,900000,113003,2,1,NA
05689772,900000,131594,3,1,NA
05689772,900000,131627,4,1,NA
05689772,900000,122716,5,1,NA
05689772,900030,15800,1,1,NA
05689772,900030,15800,2,1,NA
05689772,900030,15800,3,1,NA
05689772,900030,15800,4,1,NA
05689772,900030,15800,5,1,NA
05689772,980000,159840,1,1,NA
05689772,980000,128803,2,1,NA
05689772,980000,147394,3,1,NA
05689772,980000,147427,4,1,NA
05689772,980000,138516,5,1,NA
05689821,900030,37612,1,1,NA
05689821,900030,37612,2,1,NA
05689821,900030,37612,3,1,NA
05689821,900030,37612,4,1,NA
05689821,900030,37612,5,1,NA
05689821,900170,11900,1,1,NA
05689821,900170,11900,2,1,NA
05689821,900170,11900,3,1,NA
05689821,900170,11900,4,1,NA
05689821,900170,11900,5,1,NA
05689821,900180,5,1,1,NA
05689821,900180,5,2,1,NA
05689821,900180,5,3,1,NA
05689821,900180,5,4,1,NA
05689821,900180,5,5,1,NA
05689821,980000,49517,1,1,NA
05689821,980000,49517,2,1,NA
05689821,980000,49517,3,1,NA
05689821,980000,49517,4,1,NA
05689821,980000,49517,5,1,NA
05689822,900030,37612,1,1,NA
05689822,900030,37612,2,1,NA
05689822,900030,37612,3,1,NA
05689822,900030,37612,4,1,NA
05689822,900030,37612,5,1,NA
05689822,900170,11900,1,1,NA
05689822,900170,11900,2,1,NA
05689822,900170,11900,3,1,NA
05689822,900170,11900,4,1,NA
05689822,900170,11900,5,1,NA
05689822,900180,5,1,1,NA
05689822,900180,5,2,1,NA
05689822,900180,5,3,1,NA
05689822,900180,5,4,1,NA
05689822,900180,5,5,1,NA
05689822,980000,49517,1,1,NA
05689822,980000,49517,2,1,NA
05689822,980000,49517,3,1,NA
05689822,980000,49517,4,1,NA
05689822,980000,49517,5,1,NA
05689831,800940,4131,1,1,NA
05689831,800940,4131,2,1,NA
05689831,800940,4131,3,1,NA
05689831,800940,4131,4,1,NA
05689831,800940,4131,5,1,NA
05689831,900000,48000,1,1,NA
05689831,900000,48000,2,1,NA
05689831,900000,48000,3,1,NA
05689831,900000,48000,4,1,NA
05689831,900000,48000,5,1,NA
05689831,900160,3000,1,1,NA
05689831,900160,3000,2,1,NA
05689831,900160,3000,3,1,NA
05689831,900160,3000,4,1,NA
05689831,900160,3000,5,1,NA
05689831,900180,4,1,1,NA
05689831,900180,4,2,1,NA
05689831,900180,4,3,1,NA
05689831,900180,4,4,1,NA
05689831,900180,4,5,1,NA
05689831,980000,51004,1,1,NA
05689831,980000,51004,2,1,NA
05689831,980000,51004,3,1,NA
05689831,980000,51004,4,1,NA
05689831,980000,51004,5,1,NA
05689832,800940,4131,1,1,NA
05689832,800940,4131,2,1,NA
05689832,800940,4131,3,1,NA
05689832,800940,4131,4,1,NA
05689832,800940,4131,5,1,NA
05689832,900000,48000,1,1,NA
05689832,900000,48000,2,1,NA
05689832,900000,48000,3,1,NA
05689832,900000,48000,4,1,NA
05689832,900000,48000,5,1,NA
05689832,900160,3000,1,1,NA
05689832,900160,3000,2,1,NA
05689832,900160,3000,3,1,NA
05689832,900160,3000,4,1,NA
05689832,900160,3000,5,1,NA
05689832,900180,4,1,1,NA
05689832,900180,4,2,1,NA
05689832,900180,4,3,1,NA
05689832,900180,4,4,1,NA
05689832,900180,4,5,1,NA
05689832,980000,51004,1,1,NA
05689832,980000,51004,2,1,NA
05689832,980000,51004,3,1,NA
05689832,980000,51004,4,1,NA
05689832,980000,51004,5,1,NA
05689851,900000,78000,1,1,NA
05689851,900000,78000,2,1,NA
05689851,900000,78000,3,1,NA
05689851,900000,78000,4,1,NA
05689851,900000,78000,5,1,NA
05689851,980000,78000,1,1,NA
05689851,980000,78000,2,1,NA
05689851,980000,78000,3,1,NA
05689851,980000,78000,4,1,NA
05689851,980000,78000,5,1,NA
05689852,900000,78000,1,1,NA
05689852,900000,78000,2,1,NA
05689852,900000,78000,3,1,NA
05689852,900000,78000,4,1,NA
05689852,900000,78000,5,1,NA
05689852,980000,78000,1,1,NA
05689852,980000,78000,2,1,NA
05689852,980000,78000,3,1,NA
05689852,980000,78000,4,1,NA
05689852,980000,78000,5,1,NA
05689871,900030,64192,1,1,NA
05689871,900030,64192,2,1,NA
05689871,900030,64192,3,1,NA
05689871,900030,64192,4,1,NA
05689871,900030,64192,5,1,NA
05689871,900170,97463,1,1,T
05689871,900170,97463,2,1,T
05689871,900170,97463,3,1,T
05689871,900170,97463,4,1,T
05689871,900170,97463,5,1,T
05689871,980000,161655,1,1,T
05689871,980000,161655,2,1,T
05689871,980000,161655,3,1,T
05689871,980000,161655,4,1,T
05689871,980000,161655,5,1,T
05689872,900030,64192,1,1,NA
05689872,900030,64192,2,1,NA
05689872,900030,64192,3,1,NA
05689872,900030,64192,4,1,NA
05689872,900030,64192,5,1,NA
05689872,900170,97463,1,1,T
05689872,900170,97463,2,1,T
05689872,900170,97463,3,1,T
05689872,900170,97463,4,1,T
05689872,900170,97463,5,1,T
05689872,980000,161655,1,1,T
05689872,980000,161655,2,1,T
05689872,980000,161655,3,1,T
05689872,980000,161655,4,1,T
05689872,980000,161655,5,1,T
05689891,900030,85088,1,1,NA
05689891,900030,49964,2,1,NA
05689891,900030,66668,3,1,NA
05689891,900030,67520,4,1,NA
05689891,900030,60284,5,1,NA
05689891,980000,85088,1,1,NA
05689891,980000,49964,2,1,NA
05689891,980000,66668,3,1,NA
05689891,980000,67520,4,1,NA
05689891,980000,60284,5,1,NA
05689892,900030,53468,1,1,NA
05689892,900030,56096,2,1,NA
