NEWID,UCC,AMOUNT,AMOUNT_,PUB_FLAG
05689562,800932,22500,NA,1
05689562,900000,265000,NA,1
05689562,900170,12000,NA,1
05689562,900180,7353,NA,1
05689562,980000,284353,NA,1
05689562,980010,3,NA,1
05689562,980020,33,NA,1
05689562,980030,2,NA,1
05689562,980040,1,NA,1
05689562,980050,1,NA,1
05689562,980090,100,NA,1
05689562,980220,100,NA,1
05689562,980230,100,NA,1
05689562,980281,100,NA,1
05689562,980286,100,NA,1
05689562,980310,100,NA,1
05689562,980330,100,NA,1
05689591,900030,42592,NA,1
05689591,900170,900,NA,1
05689591,980000,43492,NA,1
05689591,980010,2,NA,1
05689591,980020,83,NA,1
05689591,980040,1,NA,1
05689591,980060,2,NA,1
05689591,980090,100,NA,1
05689591,980210,100,NA,1
05689591,980230,100,NA,1
05689591,980281,100,NA,1
05689591,980286,100,NA,1
05689591,980310,100,NA,1
05689591,980330,100,NA,1
05689592,900030,42592,NA,1
05689592,900170,900,NA,1
05689592,980000,43492,NA,1
05689592,980010,2,NA,1
05689592,980020,83,NA,1
05689592,980040,1,NA,1
05689592,980060,2,NA,1
05689592,980090,100,NA,1
05689592,980210,100,NA,1
05689592,980230,100,NA,1
05689592,980281,100,NA,1
05689592,980286,100,NA,1
05689592,980310,100,NA,1
05689592,980330,100,NA,1
05689601,900030,14096,NA,1
05689601,980000,14096,NA,1
05689601,980010,2,NA,1
05689601,980020,69,NA,1
05689601,980040,1,NA,1
05689601,980060,1,NA,1
05689601,980090,100,NA,1
05689601,980210,100,NA,1
05689601,980230,100,NA,1
05689601,980281,100,NA,1
05689601,980286,100,NA,1
05689601,980310,100,NA,1
05689601,980330,100,NA,1
05689602,900030,14096,NA,1
05689602,980000,14096,NA,1
05689602,980010,2,NA,1
05689602,980020,69,NA,1
05689602,980040,1,NA,1
05689602,980060,1,NA,1
05689602,980090,100,NA,1
05689602,980210,100,NA,1
05689602,980230,100,NA,1
05689602,980283,100,NA,1
05689602,980286,100,NA,1
05689602,980310,100,NA,1
05689602,980330,100,NA,1
05689621,800940,1794,NA,1
05689621,900000,137064,NA,1
05689621,900160,10726,NA,1
05689621,980000,147790,NA,1
05689621,980010,4,NA,1
05689621,980020,56,NA,1
05689621,980030,3,NA,1
05689621,980040,4,NA,1
05689621,980050,1,NA,1
05689621,980090,100,NA,1
05689621,980220,100,NA,1
05689621,980230,100,NA,1
05689621,980281,100,NA,1
05689621,980286,100,NA,1
05689621,980310,100,NA,1
05689621,980330,100,NA,1
05689622,800940,665,NA,1
05689622,900000,142106,NA,1
05689622,900160,3347,NA,1
05689622,980000,145453,NA,1
05689622,980010,4,NA,1
05689622,980020,56,NA,1
05689622,980030,3,NA,1
05689622,980040,4,NA,1
05689622,980050,1,NA,1
05689622,980090,100,NA,1
05689622,980220,100,NA,1
05689622,980230,100,NA,1
05689622,980281,100,NA,1
05689622,980286,100,NA,1
05689622,980310,100,NA,1
05689622,980330,100,NA,1
05689681,900030,19501,NA,1
05689681,980000,19501,NA,1
05689681,980010,1,NA,1
05689681,980020,68,NA,1
05689681,980040,1,NA,1
05689681,980060,1,NA,1
05689681,980220,100,NA,1
05689681,980260,100,NA,1
05689681,980270,100,NA,1
05689681,980286,100,NA,1
05689681,980300,100,NA,1
05689681,980330,100,NA,1
05689682,900030,20350,NA,1
05689682,980000,20350,NA,1
05689682,980010,1,NA,1
05689682,980020,68,NA,1
05689682,980040,1,NA,1
05689682,980060,1,NA,1
05689682,980220,100,NA,1
05689682,980260,100,NA,1
05689682,980270,100,NA,1
05689682,980286,100,NA,1
05689682,980300,100,NA,1
05689682,980330,100,NA,1
05689711,900000,28800,NA,1
05689711,980000,28800,NA,1
05689711,980010,4,NA,1
05689711,980020,38,NA,1
05689711,980030,1,NA,1
05689711,980040,2,NA,1
05689711,980050,2,NA,1
05689711,980210,100,NA,1
05689711,980260,100,NA,1
05689711,980281,100,NA,1
05689711,980285,100,NA,1
05689711,980300,100,NA,1
05689711,980330,100,NA,1
05689712,900000,28800,NA,1
05689712,980000,28800,NA,1
05689712,980010,4,NA,1
05689712,980020,38,NA,1
05689712,980030,1,NA,1
05689712,980040,2,NA,1
05689712,980050,2,NA,1
05689712,980210,100,NA,1
05689712,980260,100,NA,1
05689712,980281,100,NA,1
05689712,980285,100,NA,1
05689712,980300,100,NA,1
05689712,980330,100,NA,1
05689751,800932,58866,T,1
05689751,900000,160000,NA,1
05689751,900180,139,NA,1
05689751,980000,160139,NA,1
05689751,980010,1,NA,1
05689751,980020,65,NA,1
05689751,980030,1,NA,1
05689751,980040,2,NA,1
05689751,980060,1,NA,1
05689751,980090,100,NA,1
05689751,980210,100,NA,1
05689751,980240,100,NA,1
05689751,980281,100,NA,1
05689751,980286,100,NA,1
05689751,980300,100,NA,1
05689751,980330,100,NA,1
05689752,800932,58866,T,1
05689752,900000,160000,NA,1
05689752,900180,72,NA,1
05689752,980000,160072,NA,1
05689752,980010,1,NA,1
05689752,980020,65,NA,1
05689752,980030,1,NA,1
05689752,980040,2,NA,1
05689752,980060,1,NA,1
05689752,980090,100,NA,1
05689752,980210,100,NA,1
05689752,980240,100,NA,1
05689752,980281,100,NA,1
05689752,980286,100,NA,1
05689752,980300,100,NA,1
05689752,980330,100,NA,1
05689761,800910,4278,NA,1
05689761,800932,150,NA,1
05689761,900000,55000,NA,1
05689761,980000,55000,NA,1
