CUID,Car Fuel,Family Spending,Food Related,Alcohol,At -Home Entertainment,House Related,Hygiene,Medical,Recreational Related,School Supplies,no category specified,Car Maintenance,Clothing Related,Education,Train Travel,Air Travel,Taxi or Limo Travel,Bus Travel,Car Purchase,Bike or Scooter or other Single Rider Travel,Ship Travel,Car Payment,dwel_hu_house,dwel_hu_nt_hotel,dwel_hu_perm_t_hotel,dwel_hu_rooming_house,dwel_hu_mobilehome_no_perm_room,dwel_hu_mobilehome_perm_room,dwel_hu_other,dwel_ou_rooming_house,dwel_ou_college_dorm,dwel_ou_group_quarters,fam_married_only,fam_married_all_kids_less_6,fam_married_oldest_kid_between_6_18,fam_married_oldest_kid_more_17,fam_married_other,fam_single_dad,fam_single_mom,fam_single_person,fam_other,edu_none,edu_elem,edu_some_high_school,edu_high_school,edu_some_college,edu_assoc_degree,edu_bachelors,edu_masters_doctorate,occ_admin_or_manager,occ_teacher,occ_professional,occ_admin_support,occ_retail_sales,occ_business_sales,occ_technician,occ_potective_service,occ_private_hh_servicce,occ_other_service,occ_machine_operator_assembler_or_inspector,occ_transportation_operator,occ_handler_helper_laborer,occ_mechanic_repairer_or_precision_production,occ_construction_or_mining,occ_farming,occ_forestry_fishing_groundskeeping,occ_armed_forces,occ_spouse_admin_or_manager,occ_spouse_teacher,occ_spouse_professional,occ_spouse_admin_support,occ_spouse_retail_sales,occ_spouse_business_sales,occ_spouse_technician,occ_spouse_potective_service,occ_spouse_private_hh_servicce,occ_spouse_other_service,occ_spouse_machine_operator_assembler_or_inspector,occ_spouse_transportation_operator,occ_spouse_handler_helper_laborer,occ_spouse_mechanic_repairer_or_precision_production,occ_spouse_construction_or_mining,occ_spouse_farming,occ_spouse_forestry_fishing_groundskeeping,occ_spouse_armed_forces,pop_more_5_mil,pop_1_mil_to_5_mil,pop_500k_to_1_mil,pop_100k_to_500k,pop_less_100k,region_northeast,region_midwest,region_south,region_wes,in_msa_yes,in_msa_no,own_regular,own_condo,own_coop,city_type_urban,city_type_rural,welfr_less_10k,welfr_10k_to_20k,welf_20k_to_50k,welf_more_50k,age_ref_less_18,age_ref_18_to_34,age_ref_35_to_44,age_ref_45_to_54,age_ref_more_54,age_spouse_less_18,age_spouse_18_to_34,age_spouse_35_to_44,age_spouse_45_to_54,age_spouse_more_54,cu_size_1,cu_size_2,cu_size_3,cu_size_4,cu_size_more_4,income_less_50k,income_50k_to_75k,income_75k_to_100k,income_100k_to_200k,income_more_200k,pers_less_18_yd,children_none,children_1,children_2,children_3plus,no_pers_more_64_yd,one_pers_more_64_yd,two_pers_more_64_yd,more_two_pers_more_64_yd,start_month_jan,start_month_feb,start_month_mar,start_month_apr,start_month_may,start_month_jun,start_month_jul,start_month_aug,start_month_sep,start_month_oct,start_month_nov,start_month_dec,start_year_2023,veh_none,veh_1,veh_2,veh_3,veh_more_3,ref_male,ref_female,spouse_male,spouse_female,in_urban,in_rural,married,widowed,divorced,separated,never_married
568971,107.01,0,193.52,0,0,248.25,2.17,163.61,0,0,2.18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0
568976,61.64,48.64,252.57000000000002,0,83.14182,134.43,146.39000000000001,21.75,0,7.98818,0,220.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
568977,108.23,154.16,335.04,0,0,844.6099999999999,199.73000000000002,73.97999999999999,0,0,46.9,104.98,16.94,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0
568983,162.63,0,240.67290000000006,13.11661,69.45,102.74,5.91,30,14.57,59.69,100.1,0,51.15048,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
568985,35.81,0,207.09045999999998,35.28954,124.87039999999999,132.64999999999998,0,257.14,213.76,5.9896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
568987,70.18,0,436.06999999999994,33.5,0,327.54,52.099999999999994,60,172.16,0,7.18,584.6999999999999,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0
568989,23.98,0,311.9100200000001,0,0,33.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
568990,64.86,0,24,0,71.35,7.57,12.43,4.5,0,0,0,163,12.97,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
568991,146.57999999999998,0,142.51086,65.85914,70.58,81.95,11.92,0,0,0,0,8.66,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
568992,209.89999999999998,1196.45208,2194.3327799999997,603.89243,366.41,306.76,0,42.58,1357.76,73.14549,0,171.22,521.12,85.40716,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0
